Rank,Ligand,Initial_1VYW_Affinity,Mean_Affinity,Median_Affinity,Best_Affinity,Worst_Affinity,SD_Affinity,Successful_Receptors,Receptor,Affinity
21,ligand_7017,-10.66,-9.902,-10.36,-10.7,-8.63,0.936,5,5A14,-10.36
21,ligand_7017,-10.66,-9.902,-10.36,-10.7,-8.63,0.936,5,5IF1,-8.63
21,ligand_7017,-10.66,-9.902,-10.36,-10.7,-8.63,0.936,5,1W98,-9.19
22,ligand_4406,-10.75,-9.877,-10.12,-10.8,-8.54,0.881,5,1VYW,-10.8
22,ligand_4406,-10.75,-9.877,-10.12,-10.8,-8.54,0.881,5,7RWF,-10.41
22,ligand_4406,-10.75,-9.877,-10.12,-10.8,-8.54,0.881,5,5A14,-10.12
22,ligand_4406,-10.75,-9.877,-10.12,-10.8,-8.54,0.881,5,5IF1,-8.54
22,ligand_4406,-10.75,-9.877,-10.12,-10.8,-8.54,0.881,5,1W98,-9.51
23,ligand_7506,-10.65,-9.802,-10.37,-11.41,-7.94,1.447,5,1VYW,-10.63
23,ligand_7506,-10.65,-9.802,-10.37,-11.41,-7.94,1.447,5,7RWF,-10.37
23,ligand_7506,-10.65,-9.802,-10.37,-11.41,-7.94,1.447,5,5A14,-11.41
23,ligand_7506,-10.65,-9.802,-10.37,-11.41,-7.94,1.447,5,5IF1,-7.94
23,ligand_7506,-10.65,-9.802,-10.37,-11.41,-7.94,1.447,5,1W98,-8.66
24,ligand_3870,-11.08,-9.787,-10.44,-11.04,-8.09,1.266,5,1VYW,-11.04
24,ligand_3870,-11.08,-9.787,-10.44,-11.04,-8.09,1.266,5,7RWF,-10.44
24,ligand_3870,-11.08,-9.787,-10.44,-11.04,-8.09,1.266,5,5A14,-10.55
24,ligand_3870,-11.08,-9.787,-10.44,-11.04,-8.09,1.266,5,5IF1,-8.09
24,ligand_3870,-11.08,-9.787,-10.44,-11.04,-8.09,1.266,5,1W98,-8.82
25,ligand_7391,-11.09,-9.764,-10.6,-11.13,-7.94,1.602,5,1VYW,-11.04
25,ligand_7391,-11.09,-9.764,-10.6,-11.13,-7.94,1.602,5,7RWF,-11.13
25,ligand_7391,-11.09,-9.764,-10.6,-11.13,-7.94,1.602,5,5A14,-10.6
25,ligand_7391,-11.09,-9.764,-10.6,-11.13,-7.94,1.602,5,5IF1,-7.94
