Rank,Ligand,Initial_1VYW_Affinity,Mean_Affinity,Median_Affinity,Best_Affinity,Worst_Affinity,SD_Affinity,Successful_Receptors,1VYW,7RWF,5A14,5IF1,1W98
88,ligand_2639,-10.65,-9.245,-10.170,-10.58,-7.16,1.518,5,-10.21,-10.17,-10.58,-7.16,-8.10
89,ligand_7179,-10.55,-9.241,-9.510,-10.63,-7.88,1.221,5,-10.63,-10.11,-9.51,-7.88,-8.07
90,ligand_1099,-10.47,-9.238,-10.340,-10.50,-7.12,1.658,5,-10.50,-10.47,-10.34,-7.12,-7.75
91,ligand_217,-10.17,-9.227,-9.909,-10.60,-7.21,1.439,5,-10.17,-10.60,-9.91,-7.21,-8.25
92,ligand_1172,-10.03,-9.225,-9.762,-10.66,-6.96,1.444,5,-10.02,-10.66,-9.76,-6.96,-8.72
93,ligand_2227,-10.13,-9.225,-9.958,-10.59,-6.99,1.495,5,-10.17,-10.59,-9.96,-6.99,-8.42
94,ligand_5716,-10.33,-9.220,-9.993,-10.44,-7.03,1.503,5,-10.44,-9.99,-10.35,-7.03,-8.29
95,ligand_3349,-10.67,-9.209,-10.170,-10.52,-7.17,1.523,5,-10.20,-10.17,-10.52,-7.17,-7.99
96,ligand_7064,-10.05,-9.201,-9.245,-10.08,-8.26,0.691,5,-10.08,-9.56,-9.24,-8.26,-8.86
97,ligand_2838,-10.23,-9.199,-10.190,-10.55,-7.22,1.548,5,-10.20,-10.19,-10.55,-7.22,-7.83
98,ligand_1412,-10.1,-9.195,-10.020,-10.10,-6.84,1.407,5,-10.09,-10.02,-10.10,-6.84,-8.93
99,ligand_5710,-10.1,-9.195,-9.847,-10.49,-7.36,1.371,5,-9.85,-10.49,-10.15,-7.36,-8.13
100,ligand_1858,-10.06,-9.194,-10.200,-10.54,-6.89,1.604,5,-10.21,-10.20,-10.54,-6.89,-8.13
101,ligand_2448,-10.44,-9.191,-9.637,-10.57,-7.60,1.371,5,-10.27,-9.64,-10.57,-7.60,-7.88
102,ligand_7122,-10.09,-9.191,-10.020,-10.10,-6.83,1.406,5,-10.10,-10.02,-10.07,-6.83,-8.93
103,ligand_1574,-10.1,-9.185,-10.020,-10.08,-6.82,1.407,5,-10.07,-10.02,-10.08,-6.82,-8.93
104,ligand_3959,-10.87,-9.183,-8.357,-11.42,-7.38,1.851,5,-10.91,-11.42,-7.85,-7.38,-8.36
105,ligand_2323,-10.43,-9.175,-10.400,-10.76,-6.28,1.960,5,-10.44,-10.40,-10.76,-6.28,-7.99
106,ligand_4627,-10.06,-9.173,-10.040,-10.63,-7.12,1.515,5,-10.04,-10.63,-10.05,-7.12,-8.03
107,ligand_4639,-10.32,-9.170,-9.960,-10.69,-7.16,1.525,5,-9.96,-10.69,-10.09,-7.16,-7.95
108,ligand_1362,-10.01,-9.170,-9.442,-10.71,-6.94,1.510,5,-10.28,-9.44,-10.71,-6.94,-8.47
109,ligand_3512,-10.24,-9.168,-9.997,-10.47,-7.08,1.505,5,-10.22,-10.00,-10.47,-7.08,-8.08
110,ligand_5848,-10.28,-9.145,-9.752,-10.28,-6.86,1.447,5,-10.28,-9.75,-10.24,-6.86,-8.59
111,ligand_7490,-10.6,-9.128,-8.248,-10.99,-7.71,1.549,5,-10.62,-10.99,-8.25,-7.71,-8.07
112,ligand_4500,-10.2,-9.112,-9.900,-10.64,-6.97,1.614,5,-10.22,-10.64,-9.90,-6.97,-7.83
113,ligand_6415,-10.29,-9.096,-9.674,-10.37,-6.96,1.481,5,-10.29,-9.67,-10.37,-6.96,-8.19
114,ligand_3981,-10.42,-9.096,-8.657,-11.09,-8.03,1.210,5,-9.32,-11.09,-8.66,-8.03,-8.39
115,ligand_2546,-10.43,-9.096,-8.939,-11.03,-6.61,1.786,5,-10.58,-6.61,-11.03,-8.94,-8.32
116,ligand_7476,-11.02,-9.075,-8.875,-10.97,-7.44,1.576,5,-10.97,-7.44,-10.39,-7.70,-8.88
117,ligand_694,-10.3,-9.073,-9.346,-10.28,-7.08,1.358,5,-10.26,-10.28,-9.35,-7.08,-8.40
118,ligand_3842,-10.37,-9.070,-9.925,-10.77,-6.72,1.709,5,-9.93,-10.77,-10.09,-6.72,-7.85
119,ligand_1607,-10.15,-9.070,-9.976,-10.53,-6.91,1.642,5,-10.22,-9.98,-10.53,-6.91,-7.71
120,ligand_1214,-10.57,-9.069,-9.128,-10.52,-6.90,1.408,5,-10.52,-10.07,-9.13,-6.90,-8.72
121,ligand_6317,-10.57,-9.068,-8.519,-10.62,-7.42,1.446,5,-10.56,-10.62,-8.52,-7.42,-8.22
122,ligand_660,-10.73,-9.066,-8.924,-10.79,-6.94,1.481,5,-10.79,-8.92,-10.09,-6.94,-8.58
123,ligand_443,-10.34,-9.049,-9.292,-10.58,-7.37,1.480,5,-10.33,-9.29,-10.58,-7.37,-7.67
124,ligand_3045,-10.2,-9.048,-9.670,-10.16,-7.44,1.168,5,-9.67,-10.16,-9.77,-7.44,-8.20
125,ligand_4587,-10.1,-9.048,-10.090,-10.23,-7.29,1.525,5,-10.09,-10.16,-10.23,-7.29,-7.46
126,ligand_2684,-10.83,-9.040,-8.565,-10.83,-7.35,1.361,5,-10.83,-9.95,-8.56,-7.35,-8.51
127,ligand_4335,-10.26,-9.039,-9.702,-10.57,-6.83,1.625,5,-10.25,-9.70,-10.57,-6.83,-7.85
128,ligand_2845,-10.04,-9.023,-9.668,-10.05,-6.55,1.465,5,-10.05,-10.01,-9.67,-6.55,-8.84
129,ligand_7152,-10.01,-9.018,-9.759,-10.31,-7.05,1.438,5,-10.03,-10.31,-9.76,-7.05,-7.94
130,ligand_5300,-10.13,-9.014,-10.010,-10.15,-7.10,1.501,5,-10.15,-10.01,-10.14,-7.10,-7.67
131,ligand_2656,-10.02,-9.005,-10.000,-10.36,-7.09,1.618,5,-10.00,-10.36,-10.18,-7.39,-7.09
132,ligand_3222,-10.21,-8.989,-9.884,-10.56,-6.42,1.699,5,-10.56,-8.12,-9.96,-6.42,-9.88
133,ligand_4798,-10.22,-8.985,-9.605,-10.17,-7.09,1.342,5,-10.17,-9.98,-9.61,-7.09,-8.08
134,ligand_4128,-10.11,-8.981,-9.177,-10.14,-7.89,1.028,5,-9.75,-10.14,-9.18,-7.89,-7.95
135,ligand_2857,-10.19,-8.973,-9.277,-10.16,-7.32,1.237,5,-10.16,-10.02,-9.28,-7.32,-8.09
136,ligand_4095,-11.19,-8.969,-8.287,-11.21,-7.37,1.542,5,-11.21,-9.85,-8.13,-7.37,-8.29
137,ligand_2643,-10.01,-8.968,-8.651,-10.28,-7.14,1.321,5,-10.28,-8.65,-10.24,-7.14,-8.53
138,ligand_4805,-11.12,-8.967,-9.197,-11.12,-7.40,1.451,5,-11.12,-7.40,-9.20,-7.86,-9.25
139,ligand_6094,-10.35,-8.965,-8.357,-11.09,-7.50,1.570,5,-10.13,-8.36,-11.09,-7.50,-7.75
140,ligand_2924,-10.25,-8.954,-9.867,-10.03,-6.88,1.445,5,-9.87,-10.03,-10.01,-6.88,-7.98
141,ligand_4379,-10.17,-8.952,-10.140,-10.55,-6.29,2.023,5,-10.14,-10.52,-10.55,-6.29,-7.26
142,ligand_6159,-10.13,-8.947,-9.530,-10.21,-7.43,1.184,5,-10.21,-9.59,-9.53,-7.43,-7.97
143,ligand_3169,-10.65,-8.944,-8.129,-11.10,-7.18,1.809,5,-10.67,-11.10,-7.64,-7.18,-8.13
144,ligand_4893,-11.69,-8.941,-8.429,-11.75,-7.52,1.661,5,-11.75,-7.52,-8.99,-8.01,-8.43
145,ligand_3425,-10.29,-8.938,-9.961,-10.40,-6.55,1.805,5,-10.33,-10.40,-9.96,-6.55,-7.45
146,ligand_5908,-10.17,-8.921,-9.974,-10.15,-6.19,1.740,5,-10.13,-10.15,-9.97,-6.19,-8.16
147,ligand_1016,-10.6,-8.908,-8.672,-10.58,-7.85,1.110,5,-10.58,-8.06,-8.67,-7.85,-9.38
148,ligand_6833,-10.09,-8.905,-8.522,-10.87,-6.84,1.698,5,-10.87,-8.52,-10.40,-6.84,-7.90
149,ligand_1930,-10.91,-8.903,-8.499,-10.92,-8.09,1.166,5,-10.92,-8.09,-8.50,-8.17,-8.84
150,ligand_5138,-10.11,-8.866,-9.220,-10.42,-7.05,1.457,5,-9.97,-9.22,-10.42,-7.05,-7.67
151,ligand_7449,-10.11,-8.861,-7.996,-11.29,-7.28,1.748,5,-10.11,-11.29,-8.00,-7.28,-7.62
152,ligand_7237,-10.2,-8.845,-10.030,-10.19,-6.84,1.734,5,-10.19,-10.11,-10.03,-6.84,-7.05
153,ligand_3156,-10.04,-8.824,-9.213,-10.05,-7.33,1.333,5,-10.03,-10.05,-9.21,-7.33,-7.49
154,ligand_528,-11.33,-8.806,-8.173,-11.34,-7.47,1.535,5,-11.34,-9.10,-8.17,-7.47,-7.95
155,ligand_5722,-10.07,-8.797,-8.477,-10.17,-7.18,1.258,5,-10.17,-9.96,-8.48,-7.18,-8.19
156,ligand_5162,-10.02,-8.775,-10.060,-10.76,-5.93,2.320,5,-10.06,-10.53,-10.76,-5.93,-6.59
157,ligand_5949,-10.8,-8.760,-8.297,-10.81,-7.63,1.278,5,-10.81,-9.14,-8.30,-7.63,-7.92
158,ligand_6654,-10.43,-8.750,-8.395,-10.42,-7.14,1.413,5,-10.42,-8.39,-10.00,-7.14,-7.80
159,ligand_1983,-10.41,-8.748,-7.958,-10.97,-7.16,1.806,5,-10.40,-10.97,-7.96,-7.16,-7.25
160,ligand_5468,-10.19,-8.718,-8.306,-11.32,-6.33,1.835,5,-9.46,-6.33,-11.32,-8.31,-8.17
161,ligand_7026,-10.4,-8.698,-8.631,-10.42,-7.19,1.461,5,-10.42,-9.90,-8.63,-7.34,-7.19
162,ligand_3416,-10.1,-8.681,-8.686,-10.24,-6.96,1.495,5,-10.09,-10.24,-8.69,-6.96,-7.42
163,ligand_792,-10.87,-8.678,-8.339,-10.86,-7.18,1.467,5,-10.86,-7.18,-9.35,-7.66,-8.34
164,ligand_1269,-10.62,-8.655,-8.050,-10.63,-7.45,1.283,5,-10.63,-7.45,-8.05,-7.92,-9.22
165,ligand_1876,-10.35,-8.652,-8.306,-10.35,-7.55,1.058,5,-10.35,-8.31,-8.87,-7.55,-8.19
166,ligand_677,-10.65,-8.644,-8.589,-10.64,-7.22,1.271,5,-10.64,-8.59,-8.78,-7.99,-7.22
