Ligand,Affinity
ligand_741,-6.263
ligand_742,-7.424
ligand_743,-7.505
ligand_744,-9.168
ligand_745,-8.703
ligand_746,-5.272
ligand_747,-8.527
ligand_748,-9.268
ligand_749,-7.356
ligand_750,-8.477
ligand_751,-8.907
ligand_752,-9.069
ligand_753,-6.265
ligand_754,-4.532
ligand_755,-7.101
ligand_756,-3.143
ligand_757,-6.679
ligand_758,-6.525
ligand_759,-7.24
ligand_760,-6.044
ligand_761,-5.38
ligand_762,-5.499
ligand_763,-7.66
ligand_764,-7.933
ligand_765,-5.763
ligand_766,-7.555
ligand_767,-6.325
ligand_768,-7.343
ligand_769,-7.003
ligand_770,-9.384
ligand_771,-5.751
ligand_772,-7.758
ligand_773,-5.149
ligand_774,-7.727
ligand_775,-8.223
ligand_776,-7.409
ligand_777,-6.709
ligand_778,-5.159
ligand_779,-6.64
ligand_780,-10.54
ligand_781,-5.38
ligand_782,-6.731
ligand_783,-8.95
ligand_784,-6.057
ligand_785,-8.681
ligand_786,-4.514
ligand_787,-6.974
ligand_788,-9.754
ligand_789,-8.03
ligand_790,-7.742
ligand_791,-8.577
ligand_792,-10.87
ligand_793,-6.609
ligand_794,-6.968
ligand_795,-6.442
ligand_796,-8.601
ligand_797,-8.77
ligand_798,-6.087
ligand_799,-9.221
ligand_800,-5.286
ligand_801,-9.365
ligand_802,-7.971
ligand_803,-4.425
ligand_804,-8.144
ligand_805,-6.89
ligand_806,-7.06
ligand_807,-7.211
ligand_808,-5.946
ligand_809,-8.828
ligand_810,-6.02
ligand_811,-6.343
ligand_812,-6.943
ligand_813,-7.599
ligand_814,-9.646
ligand_815,-4.788
ligand_816,-5.328
ligand_817,-6.792
ligand_818,-7.901
ligand_819,-8.381
ligand_820,-9.174
ligand_821,-6.879
ligand_822,-6.945
ligand_823,-6.06
ligand_824,-5.148
ligand_825,-7.04
ligand_826,-10.13
ligand_827,-7.247
ligand_828,-8.25
ligand_829,-6.163
ligand_830,-7.604
ligand_831,-3.456
ligand_832,-7.84
ligand_833,-7.18
ligand_834,-6.604
ligand_835,-6.143
ligand_836,-6.203
ligand_837,-3.93
ligand_838,-6.045
ligand_839,-8.206
ligand_840,-5.864
ligand_841,-5.248
ligand_842,-4.673
ligand_843,-7.994
ligand_844,-6.309
ligand_845,-8.054
ligand_846,-9.244
ligand_847,-7.384
ligand_848,-9.032
ligand_849,-9.07
ligand_850,-5.565
ligand_851,-6.838
ligand_852,-6.322
ligand_853,-8.499
ligand_854,-7.165
ligand_855,-8.267
ligand_856,-9.183
ligand_857,-8.914
ligand_858,-9.101
ligand_859,-6.815
ligand_860,-8.867
ligand_861,-6.234
ligand_862,-6.815
ligand_863,-9.224
ligand_864,-8.541
ligand_865,-9.131
ligand_866,-6.333
ligand_867,-8.37
ligand_868,-6.267
ligand_869,-7.726
ligand_870,-6.989
ligand_871,-7.565
ligand_872,-6.423
ligand_873,-7.019
ligand_874,-4.754
ligand_875,-6.266
ligand_876,-8.361
ligand_877,-3.87
ligand_878,-9.072
ligand_879,-7.141
ligand_880,-8.858
ligand_881,-8.859
ligand_882,-6.429
ligand_883,-8.356
ligand_884,-5.179
ligand_885,-6.066
ligand_886,-9.969
ligand_887,-6.226
ligand_888,-5.88
ligand_889,-8.356
ligand_890,-7.166
ligand_891,-6.055
ligand_892,-3.95
ligand_893,-6.085
ligand_894,-5.471
ligand_895,-5.942
ligand_896,-8.14
ligand_897,-6.831
ligand_898,-6.664
ligand_899,-7.19
ligand_900,-5.602
ligand_901,-6.913
ligand_902,-9.201
ligand_903,-5.225
ligand_904,-7.78
ligand_905,-5.521
ligand_906,-6.342
ligand_907,-8.28
ligand_908,-7.254
ligand_909,-5.986
ligand_910,-8.556
ligand_911,-9.381
ligand_912,-9.764
ligand_913,-7.189
ligand_914,-8.791
ligand_915,-6.769
ligand_916,-6.839
ligand_917,-4.809
ligand_918,-8.547
ligand_919,-7.431
ligand_920,-7.48
ligand_921,-6.051
ligand_922,-7.691
ligand_923,-5.741
ligand_924,-9.161
ligand_925,-7.67
ligand_926,-6.445
ligand_927,-8.401
ligand_928,-8.081
ligand_929,-9.169
ligand_930,-9.37
ligand_931,-6.86
ligand_932,-8.429
ligand_933,-6.567
ligand_934,-4.702
ligand_935,-6.511
ligand_936,-5.8
ligand_937,-7.995
ligand_938,-6.482
ligand_939,-6.502
ligand_940,-9.471
ligand_941,-8.584
ligand_942,-4.834
ligand_943,-3.452
ligand_944,-6.199
ligand_945,-7.513
ligand_946,-10.06
ligand_947,-5.507
ligand_948,-4.72
ligand_949,-4.746
ligand_950,-8.504
ligand_951,-8.654
ligand_952,-8.492
ligand_953,-6.728
ligand_954,-4.591
ligand_955,-3.88
ligand_956,-5.08
ligand_957,-8.745
ligand_958,-7.999
ligand_959,-7.702
ligand_960,-4.637
ligand_961,-6.069
ligand_962,-8.303
ligand_963,-6.641
ligand_964,-8.718
ligand_965,-6.242
ligand_966,-8.16
ligand_967,-6.545
ligand_968,-6.935
ligand_969,-8.846
ligand_970,-6.981
ligand_971,-6.87
ligand_972,-7.236
ligand_973,-11.44
ligand_974,-7.872
ligand_975,-8.879
ligand_976,-9.825
ligand_977,-5.631
ligand_978,-7.101
ligand_979,-7.37
ligand_980,-8.673
ligand_981,-6.445
ligand_982,-5.91
ligand_983,-6.814
ligand_984,-9.774
ligand_985,-9.436
ligand_986,-7.226
ligand_987,-7.965
ligand_988,-7.683
ligand_989,-4.914
ligand_990,-6.355
ligand_991,-5.553
ligand_992,-4.408
ligand_993,-8.662
ligand_994,-7.395
ligand_995,-8.141
ligand_996,-7.361
ligand_997,-9.637
ligand_998,-4.639
ligand_999,-7.041
ligand_1000,-6.537
ligand_1001,-6.972
ligand_1002,-7.989
ligand_1003,-6.13
ligand_1004,-7.87
ligand_1005,-7.61
ligand_1006,-6.392
ligand_1007,-5.687
ligand_1008,-7.473
ligand_1009,-10.72
ligand_1010,-10.89
ligand_1011,-6.654
ligand_1012,-7.51
ligand_1013,-9.844
ligand_1014,-7.523
ligand_1015,-5.914
ligand_1016,-10.6
ligand_1017,-6.21
ligand_1018,-7.708
ligand_1019,-8.043
ligand_1020,-8.761
ligand_1021,-5.935
ligand_1022,-8.253
ligand_1023,-4.575
ligand_1024,-6.981
ligand_1025,-8.688
